model,family,configuration,attempted_queries,expected_queries,valid_responses,ndcg_at_10,accuracy,avg_cost_cny,avg_latency_seconds,effective_success_rate,overall_score,avg_prompt_tokens,avg_completion_tokens,avg_reasoning_tokens,avg_cached_tokens,p50_latency_seconds,p95_latency_seconds,api_success_rate,failure_rate,unknown_cost_calls,known_cost_cny,accounted_and_reserved_cny,quality_first_score,economy_first_score,aiq,pareto_frontier,selection_status,failure_reasons,source
glm-4.6v,GLM,none,12,12,12,0.6440519724161583,0.5,0.002743833333333334,3.063833333333605,1.0,62.45383925705313,2365.0833333333335,46,0,33.333333333333336,2.452999999994063,5.536699999988194,1.0,0.0,0,0.032920552,0.032926000000000004,61.282130674556804,63.98974606163902,41.5071589359019,False,合格但未入前五,{},https://aihubmix.com/model/glm-4.6v
qwen3-next-80b-a3b-instruct,Qwen,none,12,12,12,0.6373568159917244,0.4166666666666667,0.0029675,1.339750000006461,1.0,62.43957189304369,2434.1666666666665,63.333333333333336,,,1.1875,1.8273999999961232,1.0,0.0,0,0.035604000000000004,0.03561,59.19343930633566,64.20195447975173,37.06210070897568,False,合格但未入前五,{},https://aihubmix.com/model/qwen3-next-80b-a3b-instruct
qwen3.7-plus,Qwen,none,12,12,12,0.6727550033020212,0.5833333333333334,0.005736249999999999,2.9621666666692668,1.0,62.25227830885731,2214.4166666666665,82,,0,2.804500000012922,3.6810999999943306,1.0,0.0,0,0.06882830399999999,0.068835,62.97768872480171,60.33008460999084,27.37172230628361,False,合格但未入前五,{},https://aihubmix.com/model/qwen3.7-plus
gpt-5.4-nano,GPT,low,12,12,12,0.6663110561340961,0.5833333333333334,0.00561875,2.9559166666682963,1.0,62.177726554268254,2317.75,191,135,0,2.672500000000582,4.326050000007672,1.0,0.0,0,0.0674208,0.067425,62.81820909243161,60.37889281605234,27.800765060454495,False,合格但未入前五,{},https://aihubmix.com/model/gpt-5.4-nano
gpt-5-nano,GPT,low,12,12,11,0.6074742527487683,0.5833333333333334,0.0024586666666666667,4.3631666666721385,0.9166666666666666,62.157425577550704,2317.75,478.5,432,0,4.3980000000156,5.661150000010093,1.0,0.08333333333333337,0,0.029499599999999997,0.029504,62.04888347562263,63.744720980473524,44.90138471253578,False,未达晋级门槛,"{""invalid_ranking_format"": 1}",https://aihubmix.com/model/gpt-5-nano
qwen3-max-2026-01-23,Qwen,none,12,12,12,0.6652475519565513,0.5833333333333334,0.009483499999999999,2.1235833333266783,1.0,62.072610691820415,2434.1666666666665,48.833333333333336,,,2.05449999999837,2.784949999998207,1.0,0.0,0,0.11379634560000002,0.11380199999999999,62.288414649126224,58.46586380214539,16.457279555146894,False,合格但未入前五,{},https://aihubmix.com/model/qwen3-max-2026-01-23
mimo-v2.5,MiMo,none,12,12,11,0.6387431764855186,0.5,0.0031599166666666668,2.7748333333292976,0.9166666666666666,61.90710960884138,2434.1666666666665,56.916666666666664,0,0,2.61699999999837,4.201400000008288,1.0,0.08333333333333337,0,0.03791424,0.037919,60.57696377534485,63.05347705974711,38.945491112128266,False,未达晋级门槛,"{""invalid_ranking_format"": 1}",https://aihubmix.com/model/mimo-v2.5
gemini-3-flash-preview,Gemini,none,12,12,12,0.6827888470747395,0.5833333333333334,0.011374,2.5222499999969537,1.0,60.540697546545395,2193,108.41666666666667,511,,2.695000000006985,3.4275500000017924,1.0,0.0,0,0.136488,0.136488,61.80759668949673,56.408082072674546,13.914653820204775,False,合格但未入前五,{},https://aihubmix.com/model/gemini-3-flash-preview
deepseek-v4-flash-0731,DeepSeek,none,12,12,12,0.6474522770098384,0.3333333333333333,0.00283625,1.5795833333371168,1.0,60.073121362011015,2412.1666666666665,42,0,0,1.4140000000043074,2.208550000019022,1.0,0.0,0,0.034027744000000006,0.034034999999999996,56.39517441372688,62.33294331029515,35.130514580479485,False,未达晋级门槛,{},https://aihubmix.com/model/deepseek-v4-flash-0731
qwen3.5-27b,Qwen,none,12,12,12,0.6370253307996235,0.4166666666666667,0.001862,3.3946666666694605,1.0,59.97781456960281,2214.4166666666665,67,,,2.875,6.116500000009543,1.0,0.0,0,0.022337784,0.022344,58.231477227792936,62.84735458227138,42.87472737690335,False,合格但未入前五,{},https://aihubmix.com/model/qwen3.5-27b
glm-5.2,GLM,none,12,12,12,0.6713223847256918,0.5833333333333334,0.02268891666666667,2.2617500000002715,1.0,59.40844978027461,2359.4166666666665,45,,0,2.1089999999967404,3.5974000000089275,1.0,0.0,0,0.2722619232,0.27226700000000004,60.709443439383,54.23703076164994,6.912272060472027,False,合格但未入前五,{},https://aihubmix.com/model/glm-5.2
gemma-4-31b-it,Gemma,none,12,12,12,0.6571326995631517,0.5,0.0027321666666666675,6.770916666665774,1.0,59.35520428397471,2211.5833333333335,79.58333333333333,0,0,5.734499999991385,10.52849999998725,1.0,0.0,0,0.0327795272,0.03278600000000001,60.03004621549161,60.83737411949228,42.049238024875294,False,未达晋级门槛,{},https://aihubmix.com/model/gemma-4-31b-it
gemini-3.6-flash,Gemini,none,12,12,12,0.6791063834881587,0.5833333333333334,0.030516,2.2448333333377377,1.0,59.32360102603015,2193,70,,,2.0155000000086147,3.3761000000071353,1.0,0.0,0,0.366192,0.366192,60.77150473266394,53.83064480658385,5.17122049425503,False,合格但未入前五,{},https://aihubmix.com/model/gemini-3.6-flash
